Year,Code,Indicator,,Co2_per
1990,WLD,Emisiones de CO2 (toneladas métricas per capita),,4.020867687
1991,WLD,Emisiones de CO2 (toneladas métricas per capita),,3.983342889
1992,WLD,Emisiones de CO2 (toneladas métricas per capita),,3.910310291
1993,WLD,Emisiones de CO2 (toneladas métricas per capita),,3.87498525
1994,WLD,Emisiones de CO2 (toneladas métricas per capita),,3.842027309
1995,WLD,Emisiones de CO2 (toneladas métricas per capita),,3.893876264
1996,WLD,Emisiones de CO2 (toneladas métricas per capita),,3.919585121
1997,WLD,Emisiones de CO2 (toneladas métricas per capita),,3.935278691
1998,WLD,Emisiones de CO2 (toneladas métricas per capita),,3.907460918
1999,WLD,Emisiones de CO2 (toneladas métricas per capita),,3.881441811
2000,WLD,Emisiones de CO2 (toneladas métricas per capita),,3.951660425
2001,WLD,Emisiones de CO2 (toneladas métricas per capita),,3.958088692
2002,WLD,Emisiones de CO2 (toneladas métricas per capita),,3.961470273
2003,WLD,Emisiones de CO2 (toneladas métricas per capita),,4.090081614
2004,WLD,Emisiones de CO2 (toneladas métricas per capita),,4.223794234
2005,WLD,Emisiones de CO2 (toneladas métricas per capita),,4.329790027
2006,WLD,Emisiones de CO2 (toneladas métricas per capita),,4.417134594
2007,WLD,Emisiones de CO2 (toneladas métricas per capita),,4.528065637
2008,WLD,Emisiones de CO2 (toneladas métricas per capita),,4.503617262
2009,WLD,Emisiones de CO2 (toneladas métricas per capita),,4.39133164
2010,WLD,Emisiones de CO2 (toneladas métricas per capita),,4.604834238
2011,WLD,Emisiones de CO2 (toneladas métricas per capita),,4.68950194
2012,WLD,Emisiones de CO2 (toneladas métricas per capita),,4.685310416
2013,WLD,Emisiones de CO2 (toneladas métricas per capita),,4.719386053
2014,WLD,Emisiones de CO2 (toneladas métricas per capita),,4.681813043
2015,WLD,Emisiones de CO2 (toneladas métricas per capita),,4.600796551
2016,WLD,Emisiones de CO2 (toneladas métricas per capita),,4.557519663
2017,WLD,Emisiones de CO2 (toneladas métricas per capita),,4.577306263
2018,WLD,Emisiones de CO2 (toneladas métricas per capita),,4.641293735
2019,WLD,Emisiones de CO2 (toneladas métricas per capita),,4.582035579
2020,WLD,Emisiones de CO2 (toneladas métricas per capita),,4.291853096
